,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controleblad definitieve scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De formules volgen H01 en de goedgekeurde ontvlochten C-alt. Aanpassen van een thema-intensiteit herberekent A, B, C-alt en totaal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nr,Gemeente,Route,Regio,Provincie,Bron-ID,Bestand,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,Mobiliteitssectie,C5-anker,A1,A2,A3,A4,A5,Score A,B1,B2,B3,B4,B5,Score B,CA1 T04,CA2 T08,CA3 T09,CA4 T10,Score C-alt,Totaal,# int.3
43,Het Hogeland,Via regio,Regio Groningen-Assen,Groningen,SRC-043,Hogeland.pdf,3,3,3,3,2,2,2,3,3,3,3,Nee,Ja,1,2,2,1,2,8,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,28,7
44,Heumen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-042,Heumen.pdf,2,0,0,3,0,3,0,0,2,1,3,Nee,Ja,1,2,2,2,2,9,2,1,0,2,2,7,2.5,0,2.5,1.25,6.25,22.25,2
45,Horst aan de Maas,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-044,Horst aan de Maas.pdf,3,2,3,3,2,3,2,3,3,2,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,29,6
46,Houten,Rechtstreeks,Rechtstreeks,Utrecht,SRC-045,Houten.pdf,3,3,2,2,2,2,2,2,2,3,3,Nee,Ja,1,2,2,1,2,8,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,28,3
47,Kerkrade,Via regio,RMO Zuid-Limburg,Limburg,SRC-046,Kerkrade.pdf,3,2,1,2,3,2,1,0,0,3,3,Nee,Ja,1,2,2,1,2,8,2,2,2,2,2,10,2.5,0,0,2.5,5,23,3
48,Landgraaf,Via regio,RMO Zuid-Limburg,Limburg,SRC-047,Landgraaf.pdf,3,2,2,3,2,3,1,3,2,0,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,2.5,0,7.5,26.5,4
49,Leeuwarden,Rechtstreeks,Rechtstreeks,Fryslân,SRC-048,Leeuwarden.pdf,2,2,2,0,2,3,2,0,0,2,2,Ja,Ja,2,2,2,2,1,9,2,2,2,2,2,10,0,0,0,2.5,2.5,21.5,1
50,Lelystad,Rechtstreeks,Rechtstreeks,Flevoland,SRC-050,Lelystad.pdf,0,1,0,2,1,0,0,0,1,0,0,Ja,Nee,2,2,1,0,1,6,0,1,1,1,0,3,2.5,0,1.25,0,3.75,12.75,0
51,Lingewaard,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-051,Lingewaard.pdf,3,3,2,3,2,3,2,0,3,0,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,0,2.5,0,5,24,5
52,Maastricht,Via regio,RMO Zuid-Limburg,Limburg,SRC-052,Maastricht.pdf,0,3,3,2,3,3,3,2,2,2,3,Nee,Ja,1,2,2,2,2,9,0,2,2,2,2,8,2.5,2.5,2.5,2.5,10,27,5
53,Meerssen,Via regio,RMO Zuid-Limburg,Limburg,SRC-053,Meerssen.pdf,3,3,2,3,3,3,2,3,0,2,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,0,2.5,7.5,26.5,6
54,Middelburg,Rechtstreeks,Rechtstreeks,Zeeland,SRC-054,Middelburg.pdf,2,2,2,3,3,3,2,2,1,3,3,Ja,Ja,2,2,2,2,2,10,2,2,2,2,2,10,2.5,2.5,1.25,2.5,8.75,28.75,4
55,Midden-Groningen,Via regio,Regio Groningen-Assen,Groningen,SRC-055,Midden Groningen.pdf,3,3,3,3,0,3,3,2,3,3,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,29,8
56,Montferland,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-056,Montferland.pdf,3,3,2,2,2,2,0,2,2,1,3,Nee,Nee,1,2,2,1,2,8,2,2,2,2,1,9,2.5,2.5,2.5,1.25,8.75,25.75,2
57,Mook en Middelaar,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-057,Mook en middelaar.pdf,3,2,2,2,0,2,0,2,0,3,3,Nee,Ja,1,2,2,1,2,8,2,2,2,2,2,10,2.5,2.5,0,2.5,7.5,25.5,2
58,Nijmegen,Rechtstreeks,Rechtstreeks,Gelderland,SRC-058,Nijmegen.pdf,2,2,3,2,2,2,3,1,2,0,3,Ja,Ja,2,2,2,1,2,9,2,2,2,2,2,10,2.5,1.25,2.5,0,6.25,25.25,2
59,Noordoostpolder,Rechtstreeks,Rechtstreeks,Flevoland,SRC-061,Noordoostpolder.pdf,0,0,3,1,2,3,2,0,0,2,3,Ja,Ja,2,2,2,2,2,10,0,2,2,2,2,8,1.25,0,0,2.5,3.75,21.75,2
60,Overbetuwe,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-092,Overbetuwe_Coalitieakkoord_2026-2030.pdf,3,3,2,2,0,3,1,2,1,3,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,1.25,2.5,8.75,27.75,4
61,Peel en Maas,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-062,Peel en Maas.pdf,3,3,3,2,3,3,2,3,0,2,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,0,2.5,7.5,26.5,6
62,Purmerend,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-063,Purmerend.pdf,2,2,2,2,2,2,2,2,0,1,2,Ja,Ja,2,2,2,1,1,8,2,2,2,2,2,10,2.5,2.5,0,1.25,6.25,24.25,0
63,Renkum,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-068,Renkum.pdf,0,0,0,0,2,2,0,2,0,0,0,Nee,Nee,1,1,0,1,1,4,0,2,0,2,0,4,0,2.5,0,0,2.5,10.5,0
64,Rheden,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-069,Rheden.pdf,3,3,3,3,3,3,2,2,2,3,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,29,7
65,Rotterdam,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-070,Rotterdam.pdf,3,3,3,3,3,3,3,2,3,2,3,Ja,Ja,2,2,2,2,2,10,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,30,8
66,Rozendaal,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-093,Rozendaal_Coalitieakkoord_2026-2030.pdf,2,2,0,0,0,0,0,0,0,2,2,Nee,Nee,1,1,2,0,1,5,2,1,2,0,1,6,0,0,0,2.5,2.5,13.5,0
67,Simpelveld,Via regio,RMO Zuid-Limburg,Limburg,SRC-072,Simpelveld.pdf,2,2,2,0,0,2,2,0,0,2,2,Nee,Ja,1,2,2,1,1,7,2,2,2,2,2,10,0,0,0,2.5,2.5,19.5,0
68,Sittard-Geleen,Via regio,RMO Zuid-Limburg,Limburg,SRC-073,Sittard-Geleen.pdf,2,2,3,0,2,3,0,3,3,0,3,Nee,Ja,1,2,1,2,2,8,2,2,2,2,2,10,0,2.5,2.5,0,5,23,4
69,Stein,Via regio,RMO Zuid-Limburg,Limburg,SRC-074,Stein.pdf,3,3,3,3,3,3,2,3,3,3,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,29,9
70,Tilburg,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-075,Tilburg.pdf,3,3,3,2,3,3,1,2,3,0,3,Ja,Ja,2,2,2,2,2,10,2,2,2,2,2,10,2.5,2.5,2.5,0,7.5,27.5,6
71,Urk,Rechtstreeks,Rechtstreeks,Flevoland,SRC-076,Urk.pdf,2,0,2,3,2,3,1,2,3,2,3,Ja,Ja,2,2,2,2,2,10,2,2,1,2,2,9,2.5,2.5,2.5,2.5,10,29,3
72,Utrecht,Rechtstreeks,Rechtstreeks,Utrecht,SRC-077,Utrecht.pdf,3,3,3,2,2,2,2,2,1,2,3,Ja,Ja,2,2,2,1,2,9,2,2,2,2,2,10,2.5,2.5,1.25,2.5,8.75,27.75,3
73,Vaals,Via regio,RMO Zuid-Limburg,Limburg,SRC-078,Vaals.pdf,2,0,3,3,0,2,0,3,0,0,2,Nee,Ja,1,2,2,1,2,8,2,2,0,2,2,8,2.5,2.5,0,0,5,21,3
74,Valkenburg aan de Geul,Via regio,RMO Zuid-Limburg,Limburg,SRC-079,Valkenburg aan de Geul.pdf,3,3,2,3,3,3,3,2,0,2,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,0,2.5,7.5,26.5,6
75,Venlo,Rechtstreeks,Rechtstreeks,Limburg,SRC-080,Venlo.pdf,2,3,3,2,3,3,2,2,2,2,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,29,4
76,Venray,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,SRC-081,Venray.pdf,3,3,3,3,2,3,3,3,2,2,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,29,7
77,Vijfheerenlanden,Rechtstreeks,Rechtstreeks,Utrecht,SRC-082,Vijfheerenland.pdf,1,2,2,2,2,2,0,2,0,0,2,Ja,Ja,2,2,2,1,1,8,1,2,2,2,2,9,2.5,2.5,0,0,5,22,0
78,Voerendaal,Via regio,RMO Zuid-Limburg,Limburg,SRC-083,Voerendaal.pdf,3,1,1,3,0,3,3,0,0,0,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,0,0,0,2.5,21.5,4
79,Waalwijk,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-084,Waalwijk.pdf,3,3,3,3,3,3,2,2,3,2,3,Ja,Ja,2,2,2,2,2,10,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,30,7
80,Westerkwartier,Via regio,Regio Groningen-Assen,Groningen,SRC-085,Westerkwartier.pdf,2,1,0,0,0,2,0,0,0,3,2,Nee,Ja,1,2,2,1,1,7,2,1,1,2,2,8,0,0,0,2.5,2.5,17.5,1
81,Westervoort,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-086,Westervoort.pdf,2,2,1,2,2,2,2,0,0,0,2,Nee,Ja,1,2,2,1,1,7,2,2,2,2,2,10,2.5,0,0,0,2.5,19.5,0
82,Westerwolde,Rechtstreeks,Rechtstreeks,Groningen,SRC-094,Westerwolde_Coalitieakkoord_2026-2030.pdf,1,2,3,2,0,2,0,1,0,3,3,Nee,Ja,1,2,2,1,2,8,1,2,2,2,2,9,2.5,1.25,0,2.5,6.25,23.25,2
83,Wijchen,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-088,Wijchen.pdf,3,3,2,3,3,3,2,2,0,2,3,Nee,Ja,1,2,2,2,2,9,2,2,2,2,2,10,2.5,2.5,0,2.5,7.5,26.5,5
84,Zaanstad,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-089,Zaanstad.pdf,2,3,2,2,3,3,2,2,1,2,3,Ja,Ja,2,2,2,2,2,10,2,2,2,2,2,10,2.5,2.5,1.25,2.5,8.75,28.75,3
85,Zevenaar,Via regio,Regio Arnhem-Nijmegen,Gelderland,SRC-090,Zevenaar.pdf,3,2,3,3,3,2,0,3,2,2,3,Nee,Ja,1,2,2,1,2,8,2,2,2,2,2,10,2.5,2.5,2.5,2.5,10,28,5
