,,,,,,,,,,,,,,,,,,,,,
Register van alle aangetroffen bestanden,,,,,,,,,,,,,,,,,,,,,
Overgenomen uit de goedgekeurde invoercontrole; exacte bestandsnamen en classificaties blijven behouden.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
source_id,zipdeel,pad in bronset,bestandsnaam,gemeente of regio,aansluittype,regio,documenttype,bestuursperiode,pagina's,tekstkwaliteit,teksttekens,tekens/pagina,analyse_status,primair telbaar,omvang MB,SHA-256,metadata titel,versleuteld,PDF-versie,opmerking,exacte hash-doublure
SRC-039,Deel 1,part1/Harderberg.pdf,Harderberg.pdf,Hardenberg,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,36,Goed,35066,974.1,Gereed,Ja,2.77,520741113da4e0cb1dde2db7e199a415e8584cad1c60f4e210eb41b399c8838c,"Goed voor elkaar, hoofdlijnenakkoord 2026-2030",no,1.7,Bestandsnaam bevat typefout; gekoppeld aan Hardenberg.,Nee
SRC-040,Deel 1,part1/Heerlen.pdf,Heerlen.pdf,Heerlen,Via regio,RMO Zuid-Limburg,GEMEENTELIJKE_BRON,2026–2030,47,Goed,102349,2177.6,Gereed,Ja,0.74,bbfea6170a433c7e64976703d25711a043d726aa3b299282041c0bb3e4897155,Heerlens Coalitieakkoord 2026 - 2030,no,1.7,,Nee
SRC-041,Deel 1,part1/Helmond.pdf,Helmond.pdf,Helmond,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,26,Goed,81136,3120.6,Gereed,Ja,8.8,40c33960bfb935e1a50fd306a989d24ba303ac45acd14e8f6771fe772ee1cffa,Coalitieakkoord 2026-2030,no,1.7,,Nee
SRC-042,Deel 1,part1/Heumen.pdf,Heumen.pdf,Heumen,Via regio,Regio Arnhem-Nijmegen,GEMEENTELIJKE_BRON,2026–2030,12,Goed,21851,1820.9,Gereed,Ja,1.55,9a9b066aaad29c2d87d094dbd3496b8165603bc37480b4c9b85a1a7dceafd376,Microsoft Word - 20262526_Conceptcoalitieakkoord_v6 - getekend,no,1.7,,Nee
SRC-043,Deel 1,part1/Hogeland.pdf,Hogeland.pdf,Het Hogeland,Via regio,Regio Groningen-Assen,GEMEENTELIJKE_BRON,2026–2030,19,Goed,63062,3319.1,Gereed,Ja,1.96,8af923f9423b126e194007fadcc06ff5b6cd71242535a91aa7fe42ca48acc2d6,,no,1.5,Bestandsnaam afgekort; gekoppeld aan Het Hogeland.,Nee
SRC-044,Deel 1,part1/Horst aan de Maas.pdf,Horst aan de Maas.pdf,Horst aan de Maas,Via regio,RMO Noord-Limburg / Trendsportal,GEMEENTELIJKE_BRON,2026–2030,120,Goed,91548,762.9,Gereed,Ja,11.73,624e8013d7c5d7825c924a966a4779e74a4a249087a7d49dbf5dd1d9c4117bb1,Gemeentee Horst aan de Maas. Trots!.  Bestuursakkoord 2026 - 2030,no,1.7,,Nee
SRC-045,Deel 1,part1/Houten.pdf,Houten.pdf,Houten,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,51,Goed,88938,1743.9,Gereed,Ja,2.34,d72b3b8751343975f5c8703289d65ce1f9210d822923ab8da26ea57d1ff5ccc2,,no,1.7,,Nee
SRC-046,Deel 1,part1/Kerkrade.pdf,Kerkrade.pdf,Kerkrade,Via regio,RMO Zuid-Limburg,GEMEENTELIJKE_BRON,2026–2030,28,OCR,0,0,Nader controleren,Ja – na OCR,10.4,d9061913c72accee7e93db677b5f77a324a889e2966bb45d28e58af5663c2e05,,no,1.7,Volledig beeld-PDF zonder tekstlaag; OCR vereist vóór inhoudelijke analyse.,Nee
SRC-047,Deel 1,part1/Landgraaf.pdf,Landgraaf.pdf,Landgraaf,Via regio,RMO Zuid-Limburg,GEMEENTELIJKE_BRON,2026–2030,30,Goed,29566,985.5,Gereed,Ja,18.7,fae25e547512fb71b958254316ae2f53c4a848f75b59ebdff6276830737e3559,Coalitieconvenant,no,1.4,,Nee
SRC-048,Deel 1,part1/Leeuwarden.pdf,Leeuwarden.pdf,Leeuwarden,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,27,Goed,101408,3755.9,Gereed,Ja,6.52,4b596089e91ff01245c1ca73daa5315e94ef4a485ae4425af4669b7b8ad90e89,Coalitieakkoord gemeente Leeuwarden 2026 - 2030,no,1.7,,Nee
SRC-049,Deel 1,part1/Leiden.pdf,Leiden.pdf,Leiden,Rechtstreeks,,GEMEENTELIJKE_BRON,2022–2026,32,Goed,48514,1516.1,Uitgesloten – geen inhoudelijk akkoord 2026–2030,Nee,6.52,5ee1f34e8390d7a0721061c5749b2b2cfb55ecbe42324a0f45d1308dd2b0aa0c,Samen leven in Leiden - Beleidsakkoord Gemeente Leiden 2022-2026,no,1.7,Aangeleverd document is het beleidsakkoord 2022–2026. Voor 2026–2030 is volgens de opdrachtgever geen inhoudelijk akkoord gesloten.,Nee
SRC-050,Deel 1,part1/Lelystad.pdf,Lelystad.pdf,Lelystad,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,11,Goed,15462,1405.6,Gereed,Ja,0.16,480412510b62cf7d835e5c3fbe84275ae2aac32834784b1a739648fe4b901970,HOOFDLIJNENAKKOORD 2026-2030 (v1),no,1.3,,Nee
SRC-051,Deel 1,part1/Lingewaard.pdf,Lingewaard.pdf,Lingewaard,Via regio,Regio Arnhem-Nijmegen,GEMEENTELIJKE_BRON,2026–2030,21,Goed,48456,2307.4,Gereed,Ja,4.52,e7bef76c0cbaaf27c5cee55424aead2e2d4c2367564eb2b120cb68f39928adec,ISO 15930 - Electronic document file format for prepress digital data exchange (PDF/X),no,1.3,,Nee
SRC-052,Deel 1,part1/Maastricht.pdf,Maastricht.pdf,Maastricht,Via regio,RMO Zuid-Limburg,GEMEENTELIJKE_BRON,2026–2030,26,Goed,75453,2902,Gereed,Ja,2.72,b0e46f9a655a0133c7ccd31b0dd11fc1c39d6784ccfcc6a7bafee340a15e0822,,no,1.7,,Nee
SRC-053,Deel 1,part1/Meerssen.pdf,Meerssen.pdf,Meerssen,Via regio,RMO Zuid-Limburg,GEMEENTELIJKE_BRON,2026–2030,40,Goed,65871,1646.8,Gereed,Ja,1.81,34929b09fe8251fb7aec62c520872c3db36a038c341cd0a70412e8ee92ae27af,,no,1.5,,Nee
SRC-054,Deel 1,part1/Middelburg.pdf,Middelburg.pdf,Middelburg,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,36,Goed,62942,1748.4,Gereed,Ja,1.32,e3c4a16ee3dfc4d5b273a06c383c70df939aceef525c7c5becb3f57e5571b03b,,no,1.5,,Nee
SRC-055,Deel 1,part1/Midden Groningen.pdf,Midden Groningen.pdf,Midden-Groningen,Via regio,Regio Groningen-Assen,GEMEENTELIJKE_BRON,2026–2030,30,Goed,51095,1703.2,Gereed,Ja,8.16,2ef30a413c80a115b5419b5713b96552443023f83598b52ffb7224e11fcd9521,,no,1.4,,Nee
SRC-056,Deel 1,part1/Montferland.pdf,Montferland.pdf,Montferland,Via regio,Regio Arnhem-Nijmegen,GEMEENTELIJKE_BRON,2026–2030,21,Goed,42809,2038.5,Gereed,Ja,52.32,14c170a9fe8bc5785253ced3f2de61786cb586763eeb43dad7b5717f2dea89e8,,no,1.4,,Nee
SRC-057,Deel 1,part1/Mook en middelaar.pdf,Mook en middelaar.pdf,Mook en Middelaar,Via regio,RMO Noord-Limburg / Trendsportal,GEMEENTELIJKE_BRON,2026–2030,21,Goed,40136,1911.2,Gereed,Ja,4.98,506a0aba57d9c401d7689163eec8e1c98f90abb8324652858c55dfd779cca628,Microsoft Word - Coalitieakkoord beveiligd,no,1.7,,Nee
SRC-058,Deel 2,part2/Nijmegen.pdf,Nijmegen.pdf,Nijmegen,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,31,Goed,89294,2880.5,Gereed,Ja,5.13,6cb6e2cda89b4546a3f8fb2305b08f587b738991a4ffdd7733587b11ffc86ca4,Coalitieakkoord 2026-2030-Groeien met lef,no,1.7,,Nee
SRC-059,Deel 2,part2/Noord Limbrg Regio 2026.pdf,Noord Limbrg Regio 2026.pdf,RMO Noord-Limburg / Trendsportal,Regio,RMO Noord-Limburg / Trendsportal,OFFICIEEL_REGIONAAL_BELEID,Jaarplan 2026,24,Goed,23960,998.3,Gereed,Nee – alleen kwalitatief,2.87,3901b098135b5cd371a808f35f509d29126fa35a10fce857a2cef6f2e2294f0a,,no,1.7,"Origineel Jaarplan 2026 van Trendsportal; kwalitatieve regionale bron, niet telbaar als gemeentelijk akkoord.",Nee
SRC-060,Deel 2,part2/Noord Limbrg Regio.pdf,Noord Limbrg Regio.pdf,RMO Noord-Limburg / Trendsportal,Regio,RMO Noord-Limburg / Trendsportal,OFFICIEEL_REGIONAAL_BELEID,Mobiliteitsambitie 2022,16,Goed,19048,1190.5,Gereed,Nee – alleen kwalitatief,4.23,b20d35bd588fe0ae0ab861c51faa8b8dcb235312e1cdb69d3545eb7e4a4828bd,,no,1.4,"Originele Mobiliteitsambitie Noord-Limburg; aanvullend op het Jaarplan 2026, geen doublure.",Nee
SRC-061,Deel 2,part2/Noordoostpolder.pdf,Noordoostpolder.pdf,Noordoostpolder,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,19,Goed,38029,2001.5,Gereed,Ja,1.53,08a5a1f28c93f7dd5d5ee5ffbc066e5875fbe728b282cf86b3c0e6e29935ee8a,Coalitieakkoord 2026-2030,no,1.6,,Nee
SRC-062,Deel 2,part2/Peel en Maas.pdf,Peel en Maas.pdf,Peel en Maas,Via regio,RMO Noord-Limburg / Trendsportal,GEMEENTELIJKE_BRON,2026–2030,33,Goed,55252,1674.3,Gereed,Ja,5.42,f35ac2da48b22512dc2e951425b2b712b6956ff21611e486be7605d0c5833f78,De toekomst begint vandaag - Coalitieakkoord Peel en Maas 2026 - 2030,no,1.7,,Nee
SRC-063,Deel 2,part2/Purmerend.pdf,Purmerend.pdf,Purmerend,Rechtstreeks,,GEMEENTELIJKE_BRON,2026–2030,29,Goed,66938,2308.2,Gereed,Ja,72.33,e451f68bdafeb6543c78f24b58aad736c6016577892dc71ee4ec19d9f0bbfa05,Coalitieakkoord - Vertrouwen als vertrekpunt,no,1.7,,Nee
SRC-064,Deel 2,part2/Regio Arnhem Nijmegen.pdf,Regio Arnhem Nijmegen.pdf,Regio Arnhem-Nijmegen,Regio,Regio Arnhem-Nijmegen,OFFICIEEL_REGIONAAL_BELEID,2025–2028,76,Goed,113401,1492.1,Gereed,Nee – alleen kwalitatief,3.98,59d8a8c6bd743d898df7073d8a6075ceef520b694f0aa7fbc700ebe151b00625,Regionale Agenda 2025-2028,no,1.5,Originele Regionale Agenda en begroting. De ledenlijst in dit document is inmiddels verouderd: Mook en Middelaar staat erin; de actuele GNMI/GMR-indeling bevat Montferland.,Nee
SRC-065,Deel 2,part2/Regio Groningen-Assen 2026.pdf,Regio Groningen-Assen 2026.pdf,Regio Groningen-Assen,Regio,Regio Groningen-Assen,AFGELEIDE_SAMENVATTING,2026–2030,1,Goed,1499,1499,Uitgesloten,Nee,0.15,7372fb923f894d41c842e1514ce63d828331b1d23672644d3e59d1cc26b197d9,,no,1.7,Gemeentelijke aanbiedingsbrief over het Uitvoeringsprogramma. De genoemde bijlage met het eigenlijke uitvoeringsprogramma ontbreekt; daarom niet gebruiken als oorspronkelijke regionale beleidsbron.,Nee
SRC-066,Deel 2,part2/Regio Groningen-Asses.pdf,Regio Groningen-Asses.pdf,Regio Groningen-Assen,Regio,Regio Groningen-Assen,OFFICIEEL_REGIONAAL_BELEID,2026–2030,20,Goed,42922,2146.1,Gereed,Nee – alleen kwalitatief,16.95,9e8764da920e58fdbfb08fa562c1d20c7d2b15c389eb98fd04ed460e2ab3568a,,no,1.7,"Originele Toekomstagenda 2026–2030. Bestandsnaam bevat een typefout; tekstextractie heeft enige layoutruis, maar de hoofdtekst is bruikbaar.",Nee
SRC-067,Deel 2,part2/Regio Zuid Limburg.pdf,Regio Zuid Limburg.pdf,RMO Zuid-Limburg,Regio,RMO Zuid-Limburg,AFGELEIDE_SAMENVATTING,2026–2030,3,Goed,6597,2199,Uitgesloten,Nee,0.07,cea35ed3802fae0a42ddbd4896ec1a6fd39a532cff8db526795e87e7a5846ff5,,no,1.7,Raadsinformatiebrief die het Programmaplan samenvat. Het oorspronkelijke Programmaplan en de projectbladen ontbreken. De brief dateert 26 maart 2025 maar verwijst naar overleg van 10 september 2025; datum verifiëren.,Nee
